mol_id,unique_key,energy
4895,4895__75,0.3905815
4895,4895__90,0.88518226
4895,4895__105,1.5597858
4895,4895__120,1.7050678
4895,4895__135,1.1640447
4895,4895__150,0.4972391
4895,4895__165,0.0
2055,2055__-165,3.1895716
2055,2055__-150,3.452244
2055,2055__-135,3.8044112
2055,2055__-120,3.642224
2055,2055__-105,2.7249122
2055,2055__-90,1.2829897
2055,2055__-75,0.16641784
2055,2055__-60,0.010435104
2055,2055__-45,0.8764821
2055,2055__-30,2.3221328
2055,2055__-15,3.6399338
2055,2055__0,4.240011
2055,2055__15,3.6371586
2055,2055__30,2.2675507
2055,2055__45,0.86963856
2055,2055__60,0.0
2055,2055__75,0.026807785
2055,2055__90,1.0405862
2055,2055__105,2.570358
2055,2055__120,3.6165802
2055,2055__135,3.9145043
2055,2055__150,3.6963232
2055,2055__165,3.345517
2055,2055__180,3.2160223
2055,2055__-180,3.2160223
3832,3832__-165,4.3211875
3832,3832__-150,4.3133397
3832,3832__-135,4.4574494
3832,3832__-120,4.299986
3832,3832__-105,3.518115
3832,3832__-90,2.279811
3832,3832__-75,0.9072679
3832,3832__-60,0.022858024
3832,3832__-45,0.0
3832,3832__-30,0.946023
3832,3832__-15,2.6245222
3832,3832__0,4.0385003
3832,3832__15,2.636836
3832,3832__30,0.96523297
3832,3832__45,0.028908968
3832,3832__60,0.056777716
3832,3832__75,0.9078107
3832,3832__90,2.1692867
3832,3832__105,3.3559647
3832,3832__120,4.1171265
3832,3832__135,4.41697
3832,3832__150,4.3730316
3832,3832__165,4.361235
3832,3832__180,4.5263076
3832,3832__-180,4.5263076
2282,2282__-165,0.2620442
2282,2282__-150,1.6532114
2282,2282__-135,4.170766
2282,2282__-120,7.611773
2282,2282__-105,11.418144
2282,2282__-90,13.467257
2282,2282__-75,10.02136
2282,2282__-60,6.93387
2282,2282__-45,4.70523
2282,2282__-30,3.562191
2282,2282__-15,3.225147
2282,2282__0,3.1405818
2282,2282__15,3.1943288
2282,2282__30,3.5222266
2282,2282__45,4.685212
2282,2282__60,6.832686
2282,2282__75,9.9562645
2282,2282__90,13.607544
2282,2282__105,11.608562
2282,2282__120,7.8082385
2282,2282__135,4.273814
2282,2282__150,1.7233813
2282,2282__165,0.3554163
2282,2282__180,0.0
2282,2282__-180,0.0
3346,3346__180,0.129637
3346,3346__-180,0.129637
3346,3346__-165,0.0
3346,3346__-150,0.18169641
3346,3346__-135,0.8258524
3346,3346__-120,1.7935073
3346,3346__-105,2.8893
3346,3346__-90,3.3878725
3346,3346__-75,2.6402152
3346,3346__-60,1.3653263
3346,3346__-45,0.49836838
3346,3346__-30,0.26043415
3346,3346__-15,0.55432034
3346,3346__0,0.931041
3346,3346__15,0.5086045
3346,3346__30,0.30654407
3346,3346__45,0.61473846
3346,3346__60,1.4162365
3346,3346__75,2.5538943
3346,3346__90,3.2501585
3346,3346__105,2.8352966
3346,3346__120,1.8115138
3346,3346__135,0.78696203
3346,3346__150,0.24695635
3346,3346__165,0.055961847
