mol_id,unique_key,energy
455,455__90,2.2280285
455,455__105,1.9602277
455,455__120,1.3724972
455,455__135,1.028759
455,455__150,1.8392217
455,455__165,2.6839082
745,745__-165,1.8771195
745,745__-150,1.6960274
745,745__-135,1.1336453
745,745__-120,0.5143964
745,745__-105,0.15333009
745,745__-90,0.0184443
745,745__-75,0.07811284
745,745__-60,0.2381432
745,745__-45,0.39861107
745,745__-30,0.6837858
745,745__-15,1.0718789
745,745__0,1.5309576
745,745__15,1.8105531
745,745__30,1.7095252
745,745__45,1.2639244
745,745__60,0.6972263
745,745__75,0.17457461
745,745__90,0.0
745,745__105,0.069066525
745,745__120,0.22926307
745,745__135,0.4450891
745,745__150,0.7631916
745,745__165,1.2413547
745,745__180,1.6759156
745,745__-180,1.6759156
2254,2254__-165,1.3952692
2254,2254__-150,1.6014276
2254,2254__-135,1.930804
2254,2254__-120,2.1920192
2254,2254__-105,2.0679538
2254,2254__-90,1.4628308
2254,2254__-75,0.6381159
2254,2254__-60,0.01810503
2254,2254__-45,0.0
2254,2254__-30,1.0924822
2254,2254__-15,2.1357763
2254,2254__0,2.5984643
2254,2254__15,2.186006
2254,2254__30,1.1457555
2254,2254__45,0.15899348
2254,2254__60,0.24876916
2254,2254__75,0.7774631
2254,2254__90,1.457484
2254,2254__105,1.8752295
2254,2254__120,1.8999603
2254,2254__135,1.6770455
2254,2254__150,1.4493742
2254,2254__165,1.3126452
2254,2254__180,1.3056761
2254,2254__-180,1.3056761
2386,2386__180,2.9386547
2386,2386__-180,2.9386547
2386,2386__-165,2.5084078
2386,2386__-150,1.2826797
2386,2386__-135,0.13911843
2386,2386__-120,0.18596649
2386,2386__-105,0.41853595
2386,2386__-90,0.47497082
2386,2386__-75,0.29992867
2386,2386__-60,0.015909672
2386,2386__-45,0.21028233
2386,2386__-30,2.150113
2386,2386__-15,4.048558
2386,2386__0,4.7581406
2386,2386__15,4.062113
2386,2386__30,2.1662276
2386,2386__45,0.24470747
2386,2386__60,0.0
2386,2386__75,0.259238
2386,2386__90,0.47643018
2386,2386__105,0.41800928
2386,2386__120,0.10317016
2386,2386__135,0.044688225
2386,2386__150,1.2499902
2386,2386__165,2.4655173
423,423__-165,4.702141
423,423__-150,3.9381146
423,423__-135,2.831905
423,423__-120,1.6603773
423,423__-105,0.61117005
423,423__-90,0.08252168
423,423__-75,0.26961946
423,423__-60,1.2235215
423,423__-45,2.7183847
423,423__-30,4.192323
423,423__-15,5.19777
423,423__0,5.517229
423,423__15,5.1909957
423,423__30,4.2299466
423,423__45,2.8465152
423,423__60,1.3682946
423,423__75,0.24763298
423,423__90,0.0
423,423__105,0.4829619
423,423__120,1.4651101
423,423__135,2.7349777
423,423__150,4.0257916
423,423__165,4.7885137
423,423__180,4.961957
423,423__-180,4.961957
1743,1743__-165,2.8474972
1743,1743__-150,2.9569328
1743,1743__-135,3.7695067
1743,1743__-120,5.8993216
1743,1743__-105,7.6432724
1743,1743__-90,7.844474
1743,1743__-75,6.3677692
1743,1743__-60,3.7256293
1743,1743__-45,1.29193
1743,1743__-30,0.3491634
1743,1743__-15,0.0
1743,1743__0,0.030369282
1743,1743__15,0.21212602
1743,1743__30,0.723274
1743,1743__45,1.9376824
1743,1743__60,4.3186474
1743,1743__75,6.4455643
1743,1743__90,7.2449465
1743,1743__105,6.337902
1743,1743__120,4.354759
1743,1743__135,2.4722364
1743,1743__150,2.1054246
1743,1743__165,2.4001827
1743,1743__180,2.7496173
1743,1743__-180,2.7496173
3261,3261__-165,0.27284288
3261,3261__-150,0.7158631
3261,3261__-135,1.5179616
3261,3261__-120,2.6266565
3261,3261__-105,3.4437604
3261,3261__-90,3.6734133
3261,3261__-75,3.1832712
3261,3261__-60,2.1549592
3261,3261__-45,1.032646
3261,3261__-30,0.39001632
3261,3261__-15,0.04371333
3261,3261__0,0.0
3261,3261__15,0.1425507
3261,3261__30,0.5506917
3261,3261__45,1.2840182
3261,3261__60,2.4138644
3261,3261__75,3.3670826
3261,3261__90,3.7658699
3261,3261__105,3.4412224
3261,3261__120,2.4846609
3261,3261__135,1.3822796
3261,3261__150,0.6402341
3261,3261__165,0.21389437
3261,3261__180,0.121608496
3261,3261__-180,0.121608496
3730,3730__180,3.3060865
3730,3730__-180,3.3060865
3730,3730__-165,3.3861516
3730,3730__-150,2.5934634
3730,3730__-135,1.3566396
3730,3730__-120,0.43636632
3730,3730__-105,0.16964126
3730,3730__-90,0.56349826
3730,3730__-75,1.2076418
3730,3730__-60,1.4663103
3730,3730__-45,1.0840478
3730,3730__-30,0.45205736
3730,3730__-15,0.0
3730,3730__0,0.28517628
3730,3730__15,1.2677451
3730,3730__30,2.5706422
3730,3730__45,3.4591296
3730,3730__60,3.4834106
3730,3730__75,2.5421193
3730,3730__90,1.3198428
3730,3730__105,0.3579383
3730,3730__120,0.038535357
3730,3730__135,0.35138798
3730,3730__150,1.3387172
3730,3730__165,2.4887245
1883,1883__-165,2.3477561
1883,1883__-150,3.538767
1883,1883__-135,4.4609303
1883,1883__-120,4.5833583
1883,1883__-105,3.491787
1883,1883__-90,1.8719789
1883,1883__-75,0.45631194
1883,1883__-60,0.0
1883,1883__-45,0.8906566
1883,1883__-30,2.7817497
1883,1883__-15,4.534166
1883,1883__0,5.2349377
1883,1883__15,4.5455985
1883,1883__30,2.881045
1883,1883__45,1.2358832
1883,1883__60,0.5780579
1883,1883__75,1.173547
1883,1883__90,2.591492
1883,1883__105,4.0157504
1883,1883__120,4.6950626
1883,1883__135,4.207151
1883,1883__150,3.0990674
1883,1883__165,1.9605222
1883,1883__180,1.6314985
1883,1883__-180,1.6314985
296,296__180,0.0
296,296__-180,0.0
296,296__-165,0.5984076
296,296__-150,2.163555
296,296__-135,4.1916647
296,296__-120,6.265577
296,296__-105,7.9524145
296,296__-90,8.569273
296,296__-75,8.542483
296,296__-60,8.6573
296,296__-45,9.121485
296,296__-30,10.870967
296,296__-15,12.289454
296,296__0,12.840744
296,296__15,12.237404
296,296__30,10.836089
296,296__45,9.122173
296,296__60,8.729684
296,296__75,8.911093
296,296__90,8.797696
296,296__105,8.007199
296,296__120,6.352159
296,296__135,4.202522
296,296__150,2.0659673
296,296__165,0.57477474
3276,3276__180,3.2911649
3276,3276__-180,3.2911649
3276,3276__-165,3.0355167
3276,3276__-150,2.354352
3276,3276__-135,1.5012454
3276,3276__-120,0.8184273
3276,3276__-105,0.3777225
3276,3276__-90,0.18225789
3276,3276__-75,0.08510351
3276,3276__-60,0.0
3276,3276__-45,0.11183739
3276,3276__-30,0.43591452
3276,3276__-15,0.77241755
3276,3276__0,0.9232445
3276,3276__15,0.8221103
3276,3276__30,0.47910953
3276,3276__45,0.18769956
3276,3276__60,0.057967424
3276,3276__75,0.0643127
3276,3276__90,0.18946385
3276,3276__105,0.42202425
3276,3276__120,0.86028886
3276,3276__135,1.5067706
3276,3276__150,2.3366804
3276,3276__165,3.0024006
10,10__180,0.0
10,10__-180,0.0
10,10__-165,0.28133154
10,10__-150,0.9628465
10,10__-135,1.9017357
10,10__-120,2.9833093
10,10__-105,3.809228
10,10__-90,4.107412
10,10__-75,3.8365393
10,10__-60,2.9844918
10,10__-45,1.8707778
10,10__-30,0.8581159
10,10__-15,0.2275523
10,10__0,0.0045586824
10,10__15,0.27214777
10,10__30,0.9110801
10,10__45,1.8905507
10,10__60,2.983827
10,10__75,3.8423433
10,10__90,4.2071743
10,10__105,3.8758335
10,10__120,2.9419718
10,10__135,1.7399384
10,10__150,0.77062213
10,10__165,0.17240095
256,256__180,2.6048913
256,256__-180,2.6048913
256,256__-165,2.285271
256,256__-150,1.3029727
256,256__-135,0.32641888
256,256__-120,0.0732193
256,256__-105,0.17829871
256,256__-90,0.45662475
256,256__-75,0.6255809
256,256__-60,0.53088295
256,256__-45,0.29826462
256,256__-30,0.1154933
256,256__-15,0.035755396
256,256__0,0.0
256,256__15,0.04947734
256,256__30,0.16829586
256,256__45,0.39587736
256,256__60,0.63454545
256,256__75,0.67316675
256,256__90,0.49605107
256,256__105,0.22744536
256,256__120,0.059538126
256,256__135,0.27651942
256,256__150,1.2600634
256,256__165,2.189629
